"","m","nu","lambda","alpha","theoretical_var","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"26",6.26666666666667,-2.77777777777778,-5,0.1,0.00112189991816654,0.000906770305741416,0.000925184039346746,0.00090208916697596,0.0011719329897582,-0.000215129612425124,-0.000196715878819794,-0.00021981075119058,5.003307159166e-05
"27",7.2,-2.77777777777778,-5,0.1,0.000921212651881242,0.000768935932899487,0.000775167002708672,0.000772263078245683,0.000868778162143575,-0.000152276718981755,-0.00014604564917257,-0.000148949573635559,-5.24344897376671e-05
"28",8.13333333333333,-2.77777777777778,-5,0.1,0.00078234397011991,0.000671160377168086,0.0006784996332409,0.00067250102248538,0.000765137427868194,-0.000111183592951824,-0.00010384433687901,-0.00010984294763453,-1.72065422517159e-05
"29",9.06666666666667,-2.77777777777778,-5,0.1,0.000680381947944345,0.000597140051715804,0.000601043881002808,0.000594172809303396,0.000704815410896835,-8.3241896228541e-05,-7.93380669415369e-05,-8.62091386409489e-05,2.44334629524901e-05
"30",10,-2.77777777777778,-5,0.1,0.000602244098370944,0.00053357862966066,0.000541123213060894,0.000536306178645993,0.000621880251891422,-6.8665468710284e-05,-6.112088531005e-05,-6.5937919724951e-05,1.9636153520478e-05
"31",1.6,-1.66666666666667,-5,0.1,0.14645061728395,0.00620441876620579,0.00581690203844613,0.00546177344990761,0.0673935369364979,-0.140246198517744,-0.140633715245504,-0.140988843834042,-0.0790570803474521
"32",2.53333333333333,-1.66666666666667,-5,0.1,0.00626791267760229,0.00275933125326006,0.00270791138365264,0.00267392918656551,0.00622199218976413,-0.00350858142434223,-0.00356000129394965,-0.00359398349103678,-4.59204878381601e-05
"33",3.46666666666667,-1.66666666666667,-5,0.1,0.00283254509663122,0.00181860519387172,0.00178390517044006,0.0017554074861392,0.00277142934099099,-0.0010139399027595,-0.00104863992619116,-0.00107713761049202,-6.11157556402301e-05
"34",4.4,-1.66666666666667,-5,0.1,0.00182771215315064,0.00133531760802928,0.00135279012176861,0.00131278285814944,0.00183630168254277,-0.00049239454512136,-0.00047492203138203,-0.0005149292950012,8.58952939213e-06
"35",5.33333333333333,-1.66666666666667,-5,0.1,0.00135258554154875,0.00105340804039264,0.00107691363604776,0.00106456401229652,0.00136182507291194,-0.00029917750115611,-0.00027567190550099,-0.00028802152925223,9.23953136319007e-06
"36",6.26666666666667,-1.66666666666667,-5,0.1,0.00107521264186863,0.000883650027154875,0.000885367452970364,0.00087751282164444,0.00105638444765216,-0.000191562614713755,-0.000189845188898266,-0.00019769982022419,-1.882819421647e-05
"37",7.2,-1.66666666666667,-5,0.1,0.000893040063449177,0.000758914108683177,0.000761754840451201,0.000749783532276384,0.000891824352825658,-0.000134125954766,-0.000131285222997976,-0.000143256531172793,-1.21571062351906e-06
"38",8.13333333333333,-1.66666666666667,-5,0.1,0.000764055889544675,0.000663952048212765,0.000667207366699517,0.00067008214234704,0.00075856741755139,-0.00010010384133191,-9.68485228451581e-05,-9.39737471976351e-05,-5.48847199328506e-06
