"m","nu","lambda","alpha","theoretical_mean","theoretical_var","envelop_1_empirical_mean","envelop_1_empirical_var","envelope_1_empirical_acceptance","envelop_3_empirical_mean","envelop_3_empirical_var","envelope_3_empirical_acceptance","envelop_4_empirical_mean","envelop_4_empirical_var","envelope_4_empirical_acceptance","envelop_5_empirical_mean","envelop_5_empirical_var","envelope_5_empirical_acceptance"
5.33333333333333,-1.66666666666667,-5,0.1,-4.98076923076923,0.00135258554154875,-4.98432799696134,0.00105340804039264,0.23364,-4.98442960709584,0.00107691363604776,0.36677,-4.98464153584659,0.00106456401229652,0.23003,-4.98126403654601,0.00136182507291194,0.08434
6.26666666666667,-1.66666666666667,-5,0.1,-4.98417721518987,0.00107521264186863,-4.98667419447918,0.000883650027154875,0.21692,-4.98689144482502,0.000885367452970364,0.34156,-4.98659554797108,0.00087751282164444,0.21571,-4.98464205804452,0.00105638444765216,0.08245
7.2,-1.66666666666667,-5,0.1,-4.98655913978495,0.000893040063449177,-4.98844098066526,0.000758914108683177,0.20333,-4.98859667184409,0.000761754840451201,0.31991,-4.98841693234698,0.000749783532276384,0.20223,-4.9866847802048,0.000891824352825658,0.08146
8.13333333333333,-1.66666666666667,-5,0.1,-4.98831775700935,0.000764055889544675,-4.98977688172472,0.000663952048212765,0.1917,-4.98992465437959,0.000667207366699517,0.30228,-4.9897023282953,0.00067008214234704,0.19422,-4.9882796367164,0.00075856741755139,0.08061
9.06666666666667,-1.66666666666667,-5,0.1,-4.9896694214876,0.000667844990246749,-4.99083161127538,0.000585020524993992,0.18202,-4.99087352754394,0.000594729368672491,0.28721,-4.99089944632888,0.000585660883114266,0.18429,-4.98920788438521,0.000692003574902847,0.08084
10,-1.66666666666667,-5,0.1,-4.99074074074074,0.000593278463648834,-4.99163037379198,0.000528376020298063,0.17346,-4.99165505170274,0.000537792396801602,0.27453,-4.99164550816265,0.000534565583182112,0.17484,-4.9904727225212,0.000593776332842182,0.07891
1.6,-0.555555555555555,-5,0.1,-4.9537037037037,0.0607167352537722,-4.9828659906109,0.00465802706287543,0.40697,-4.98290546105912,0.00460593511526193,0.62622,-4.98188579042978,0.00458540641889167,0.38012,-4.95502781187397,0.030836089680516,0.44509
2.53333333333333,-0.555555555555555,-5,0.1,-4.98188405797101,0.00499751001077302,-4.98889918828109,0.00255362547672054,0.33567,-4.9893368558891,0.00247137431384288,0.52346,-4.98888329070164,0.00248251240880027,0.32883,-4.98188445552338,0.00485935434149892,0.43265
3.46666666666667,-0.555555555555555,-5,0.1,-4.98873873873874,0.00257461423860874,-4.99212009037183,0.001705461987928,0.29056,-4.99194582837716,0.00170706144327364,0.45548,-4.99196498006262,0.00171905546329863,0.28883,-4.98860049011758,0.00264098872012078,0.42909
4.4,-0.555555555555555,-5,0.1,-4.99183006535948,0.00173564617793628,-4.99373936864841,0.00128356554256159,0.25914,-4.9936012388045,0.00129758305824517,0.40816,-4.9936197927466,0.0012596834042848,0.26028,-4.99159982035201,0.00174732746722339,0.42766
5.33333333333333,-0.555555555555555,-5,0.1,-4.99358974358974,0.00130970757224938,-4.99487915181579,0.00102951836679242,0.23637,-4.99497771631679,0.00103736512523578,0.37235,-4.99461280129629,0.00102425447390715,0.23763,-4.99355538866803,0.00131032568139074,0.42396
6.26666666666667,-0.555555555555555,-5,0.1,-4.99472573839662,0.00105186900371967,-4.99561886147219,0.000863514298209883,0.21922,-4.99575913410372,0.000872638664063329,0.34561,-4.99577053402628,0.000872142019182969,0.21887,-4.99441963014711,0.00104659645031777,0.42302
7.2,-0.555555555555555,-5,0.1,-4.99551971326165,0.000878953769233145,-4.99623308861953,0.000747054980524533,0.20485,-4.99625918359861,0.000753606119574259,0.32401,-4.99630551941649,0.000746079984062905,0.20665,-4.9955346593742,0.000866612363032859,0.42258
8.13333333333333,-0.555555555555555,-5,0.1,-4.99610591900312,0.000754911849257058,-4.99675863971124,0.000655633190178018,0.19285,-4.99662649561124,0.00066744946263333,0.30606,-4.99641001077185,0.000650557352511758,0.19419,-4.99598798780626,0.00075588391971958,0.42192
9.06666666666667,-0.555555555555555,-5,0.1,-4.9965564738292,0.00066157651139795,-4.99699209784137,0.000585584291984912,0.18294,-4.99696180610077,0.000591989285687421,0.2898,-4.99698602781804,0.000594660068930727,0.18612,-4.99647171788742,0.000662020518316816,0.42168
10,-0.555555555555555,-5,0.1,-4.99691358024691,0.000588795646287779,-4.99720728787326,0.000529595276522696,0.17463,-4.99723527928881,0.000532706079766921,0.2764,-4.99731212107134,0.000523295976745894,0.17708,-4.99674506262533,0.000593829825413528,0.42053
1.6,0.555555555555555,-5,0.1,-5.0462962962963,0.0607167352537722,-5.01760067769703,0.00468317534156485,0.40817,-5.01765921824325,0.00456202610107653,0.62815,-5.01787402854482,0.004870480800213,0.38026,-5.04717213944198,0.0471669311094049,0.44647
2.53333333333333,0.555555555555555,-5,0.1,-5.01811594202899,0.00499751001077302,-5.01106893575727,0.00251538022298649,0.33466,-5.01100630423869,0.00249451149662206,0.52348,-5.01077896972607,0.0024859843136562,0.3315,-5.01806899901131,0.00495393690194191,0.43452
3.46666666666667,0.555555555555555,-5,0.1,-5.01126126126126,0.00257461423860874,-5.00825948387752,0.00169226849350486,0.29112,-5.00798743175548,0.0017159022862205,0.45581,-5.00827370858878,0.00170780068607225,0.29013,-5.0112278751133,0.00255865004637357,0.42908
4.4,0.555555555555555,-5,0.1,-5.00816993464052,0.00173564617793628,-5.00663847369332,0.00128532985350493,0.26039,-5.00642893066128,0.00128308048578287,0.40888,-5.00611477419258,0.00127199068670634,0.26058,-5.00829268651281,0.00174049479798927,0.42565
5.33333333333333,0.555555555555555,-5,0.1,-5.00641025641026,0.00130970757224938,-5.00545744043524,0.00104049239438648,0.2378,-5.00519559091642,0.00103450559866132,0.37417,-5.00562032905188,0.00103084807538473,0.23628,-5.00633687617883,0.00130838229303438,0.4252
6.26666666666667,0.555555555555555,-5,0.1,-5.00527426160338,0.00105186900371967,-5.00461729545114,0.000856599860793678,0.2194,-5.00443034738032,0.000876133907753923,0.34674,-5.00449307537273,0.000877310558138267,0.22116,-5.00552623292311,0.0010807847450936,0.42381
7.2,0.555555555555555,-5,0.1,-5.00448028673835,0.000878953769233145,-5.00393167803024,0.000743197189941694,0.2056,-5.00384214652933,0.000755164560599551,0.32447,-5.00365431780217,0.000735127917307961,0.20513,-5.00450535116086,0.000884130271945467,0.42242
8.13333333333333,0.555555555555555,-5,0.1,-5.00389408099688,0.000754911849257058,-5.00346512401595,0.000656583220271224,0.19392,-5.00340212475131,0.000661986948310948,0.3057,-5.00342368250516,0.000643066050191871,0.19298,-5.00389802004051,0.000750835583686081,0.42156
9.06666666666667,0.555555555555555,-5,0.1,-5.0034435261708,0.00066157651139795,-5.00316531283022,0.000589502440027004,0.18383,-5.00309831235047,0.000593919827847829,0.29078,-5.00315179826909,0.000583056802393498,0.18587,-5.00368979188668,0.000660592945332086,0.42216
10,0.555555555555555,-5,0.1,-5.00308641975309,0.000588795646287779,-5.00289183980061,0.000534910496082663,0.17542,-5.00278043419799,0.000533658672433915,0.27731,-5.00264737409787,0.000521279301040028,0.17546,-5.00312280804097,0.000591391731362134,0.42156
1.6,1.66666666666667,-5,0.1,-5.13888888888889,0.146450617283951,-5.05226978442426,0.0056698046727182,0.37316,-5.05222109083808,0.00570126229472411,0.50227,-5.05190695188594,0.00552904651133604,0.22236,-5.13912885095934,0.0635504167956276,0.12799
2.53333333333333,1.66666666666667,-5,0.1,-5.05434782608696,0.00626791267760229,-5.03330826923264,0.00271072622936456,0.32117,-5.0332193056153,0.00271359250938355,0.47768,-5.03281858038125,0.00273505383995439,0.2749,-5.05444028599899,0.00623805966778579,0.10111
3.46666666666667,1.66666666666667,-5,0.1,-5.03378378378378,0.00283254509663122,-5.02423198230863,0.0017647894678258,0.2834,-5.02415434575402,0.0017927252107733,0.43305,-5.02393932019296,0.00180986788176877,0.2615,-5.03379438633716,0.00285721900552267,0.09253
4.4,1.66666666666667,-5,0.1,-5.02450980392157,0.00182771215315065,-5.01929968718706,0.00131908154060327,0.25687,-5.01901132831812,0.00133924746737783,0.39596,-5.01883158306702,0.00130968006290097,0.24797,-5.02388945536745,0.00179706573023411,0.08832
