"","m","nu","lambda","alpha","theoretical_mean","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"103",3.46666666666667,-5,-3.88888888888889,0.1,-3.78753753753754,-3.81667577048223,-3.81694285644032,-3.81688172735524,-3.78903709481425,-0.0291382329446899,-0.0294053189027799,-0.0293441898176998,-0.00149955727671003
"104",4.4,-5,-3.88888888888889,0.1,-3.81535947712418,-3.83215198570707,-3.83221487606441,-3.8315186944535,-3.81422886904207,-0.0167925085828897,-0.0168553989402298,-0.0161592173293199,0.0011306080821103
"105",5.33333333333333,-5,-3.88888888888889,0.1,-3.83119658119658,-3.84206110821169,-3.84197449748943,-3.84225740839447,-3.8346599279885,-0.01086452701511,-0.0107779162928501,-0.0110608271978898,-0.00346334679192006
"106",6.26666666666667,-5,-3.88888888888889,0.1,-3.84142053445851,-3.84912225684847,-3.84883063369283,-3.84917029365913,-3.84730145385115,-0.00770172238995981,-0.00741009923432001,-0.00774975920061971,-0.00588091939263968
"107",7.2,-5,-3.88888888888889,0.1,-3.84856630824373,-3.85423334057089,-3.85387520628318,-3.85389522260022,-3.85378239328238,-0.00566703232715993,-0.00530889803944978,-0.00532891435649008,-0.00521608503864979
"108",8.13333333333333,-5,-3.88888888888889,0.1,-3.85384215991693,-3.85832981315882,-3.85795684678467,-3.85808419658407,-3.85403604198258,-0.00448765324189004,-0.00411468686773997,-0.00424203666714007,-0.000193882065649742
"109",9.06666666666667,-5,-3.88888888888889,0.1,-3.8578971533517,-3.86144046325674,-3.86127175776605,-3.86167906454433,-3.86340061153037,-0.00354330990503993,-0.00337460441434967,-0.00378191119262983,-0.00550345817866971
"110",10,-5,-3.88888888888889,0.1,-3.86111111111111,-3.86383453943538,-3.86391209340608,-3.86399161825923,-3.86157616327137,-0.00272342832427031,-0.00280098229497039,-0.00288050714812016,-0.000465052160260271
"111",1.6,-3.88888888888889,-3.88888888888889,0.1,-3.56481481481481,-3.76617624774141,-3.76679922901604,-3.76696336588867,-3.57302949369549,-0.2013614329266,-0.20198441420123,-0.20214855107386,-0.00821467888067984
"112",2.53333333333333,-3.88888888888889,-3.88888888888889,0.1,-3.76207729468599,-3.81189183778627,-3.81225919680426,-3.81186271191831,-3.76222470259507,-0.0498145431002799,-0.0501819021182701,-0.0497854172323202,-0.000147407909079966
"113",3.46666666666667,-3.88888888888889,-3.88888888888889,0.1,-3.81006006006006,-3.83283228328803,-3.83296952231928,-3.83312768208547,-3.81144516197639,-0.0227722232279701,-0.0229094622592201,-0.02306762202541,-0.00138510191633001
"114",4.4,-3.88888888888889,-3.88888888888889,0.1,-3.83169934640523,-3.84465219519706,-3.84476733409552,-3.84484356060779,-3.83398878546408,-0.01295284879183,-0.0130679876902904,-0.0131442142025602,-0.00228943905885037
"115",5.33333333333333,-3.88888888888889,-3.88888888888889,0.1,-3.84401709401709,-3.85246821685362,-3.85232997314092,-3.85278599830335,-3.84257136513831,-0.00845112283652982,-0.00831287912382983,-0.00876890428625998,0.00144572887877992
"116",6.26666666666667,-3.88888888888889,-3.88888888888889,0.1,-3.85196905766526,-3.85782214769389,-3.85774330725824,-3.85792086832118,-3.84967227953058,-0.00585309002862999,-0.00577424959297979,-0.00595181065591976,0.0022967781346801
"117",7.2,-3.88888888888889,-3.88888888888889,0.1,-3.85752688172043,-3.86197279874765,-3.86185331932569,-3.8622120187228,-3.86074400570133,-0.00444591702721997,-0.00432643760525986,-0.00468513700237017,-0.00321712398090002
"118",8.13333333333333,-3.88888888888889,-3.88888888888889,0.1,-3.8616303219107,-3.8650572740624,-3.86510901568281,-3.86519877827802,-3.8635362677737,-0.00342695215169986,-0.00347869377210985,-0.00356845636731995,-0.00190594586299975
"119",9.06666666666667,-3.88888888888889,-3.88888888888889,0.1,-3.8647842056933,-3.86740269756558,-3.86753701605252,-3.86764272220707,-3.86484983620943,-0.00261849187228025,-0.00275281035922026,-0.00285851651377023,-6.56305161301773e-05
"120",10,-3.88888888888889,-3.88888888888889,0.1,-3.86728395061728,-3.86946290991466,-3.86950029859069,-3.86950740491209,-3.86924917814231,-0.00217895929737999,-0.00221634797340986,-0.00222345429481008,-0.00196522752503014
"121",1.6,-2.77777777777778,-3.88888888888889,0.1,-3.65740740740741,-3.80144879306994,-3.80260334516944,-3.80203256804587,-3.66548290003262,-0.14404138566253,-0.14519593776203,-0.14462516063846,-0.00807549262520979
"122",2.53333333333333,-2.77777777777778,-3.88888888888889,0.1,-3.79830917874396,-3.83404290765144,-3.83418790999915,-3.83452319669993,-3.79542015153323,-0.0357337289074802,-0.03587873125519,-0.0362140179559702,0.00288902721072981
"123",3.46666666666667,-2.77777777777778,-3.88888888888889,0.1,-3.83258258258258,-3.84863186379058,-3.84910963487119,-3.84877571453287,-3.8333114491957,-0.0160492812080002,-0.0165270522886103,-0.0161931319502902,-0.000728866613119994
"124",4.4,-2.77777777777778,-3.88888888888889,0.1,-3.84803921568627,-3.85724396625217,-3.85743290823668,-3.8571270742505,-3.84939834323862,-0.00920475056589964,-0.00939369255040967,-0.00908785856423,-0.0013591275523499
"125",5.33333333333333,-2.77777777777778,-3.88888888888889,0.1,-3.85683760683761,-3.86277598335959,-3.86277158533237,-3.8625099407942,-3.85846251745492,-0.00593837652197982,-0.00593397849476007,-0.00567233395659006,-0.00162491061731007
