"","m","nu","lambda","alpha","envelope_1","envelope_3","envelope_4","envelope_5"
"143",3.46666666666667,-0.555555555555555,-3.88888888888889,0.1,0.29056,0.45548,0.28889,0.43025
"144",4.4,-0.555555555555555,-3.88888888888889,0.1,0.25914,0.40816,0.25831,0.42603
"145",5.33333333333333,-0.555555555555555,-3.88888888888889,0.1,0.23637,0.37235,0.23955,0.42548
"146",6.26666666666667,-0.555555555555555,-3.88888888888889,0.1,0.21922,0.34561,0.2212,0.4233
"147",7.2,-0.555555555555555,-3.88888888888889,0.1,0.20485,0.32401,0.20634,0.42236
"148",8.13333333333333,-0.555555555555555,-3.88888888888889,0.1,0.19285,0.30606,0.1963,0.42238
"149",9.06666666666667,-0.555555555555555,-3.88888888888889,0.1,0.18294,0.2898,0.18323,0.42175
"150",10,-0.555555555555555,-3.88888888888889,0.1,0.17463,0.2764,0.17617,0.41976
"151",1.6,0.555555555555555,-3.88888888888889,0.1,0.40817,0.62815,0.38013,0.44633
"152",2.53333333333333,0.555555555555555,-3.88888888888889,0.1,0.33466,0.52348,0.32792,0.43517
"153",3.46666666666667,0.555555555555555,-3.88888888888889,0.1,0.29112,0.45581,0.28966,0.42829
"154",4.4,0.555555555555555,-3.88888888888889,0.1,0.26039,0.40888,0.25917,0.42631
"155",5.33333333333333,0.555555555555555,-3.88888888888889,0.1,0.2378,0.37417,0.23702,0.4239
"156",6.26666666666667,0.555555555555555,-3.88888888888889,0.1,0.2194,0.34674,0.21815,0.42362
"157",7.2,0.555555555555555,-3.88888888888889,0.1,0.2056,0.32447,0.2064,0.42272
"158",8.13333333333333,0.555555555555555,-3.88888888888889,0.1,0.19392,0.3057,0.19535,0.42225
"159",9.06666666666667,0.555555555555555,-3.88888888888889,0.1,0.18383,0.29078,0.18349,0.42214
"160",10,0.555555555555555,-3.88888888888889,0.1,0.17542,0.27731,0.17676,0.42114
"161",1.6,1.66666666666667,-3.88888888888889,0.1,0.37316,0.50227,0.2248,0.12669
"162",2.53333333333333,1.66666666666667,-3.88888888888889,0.1,0.32117,0.47768,0.27273,0.10237
"163",3.46666666666667,1.66666666666667,-3.88888888888889,0.1,0.2834,0.43305,0.2606,0.0913
"164",4.4,1.66666666666667,-3.88888888888889,0.1,0.25687,0.39596,0.24665,0.08723
"165",5.33333333333333,1.66666666666667,-3.88888888888889,0.1,0.23567,0.36542,0.23038,0.08441
"166",6.26666666666667,1.66666666666667,-3.88888888888889,0.1,0.21912,0.34127,0.21534,0.08236
"167",7.2,1.66666666666667,-3.88888888888889,0.1,0.20455,0.32125,0.20076,0.08172
"168",8.13333333333333,1.66666666666667,-3.88888888888889,0.1,0.19292,0.30345,0.19287,0.08078
"169",9.06666666666667,1.66666666666667,-3.88888888888889,0.1,0.18267,0.28895,0.1833,0.07945
"170",10,1.66666666666667,-3.88888888888889,0.1,0.17455,0.27563,0.17576,0.07873
"171",1.6,2.77777777777778,-3.88888888888889,0.1,0.32369,0.35838,0.11539,0.05165
"172",2.53333333333333,2.77777777777778,-3.88888888888889,0.1,0.30008,0.40694,0.20122,0.03003
"173",3.46666666666667,2.77777777777778,-3.88888888888889,0.1,0.27306,0.39667,0.22528,0.02372
"174",4.4,2.77777777777778,-3.88888888888889,0.1,0.24959,0.37457,0.21954,0.02082
"175",5.33333333333333,2.77777777777778,-3.88888888888889,0.1,0.23075,0.35204,0.21413,0.01932
"176",6.26666666666667,2.77777777777778,-3.88888888888889,0.1,0.21491,0.33101,0.20508,0.0174
"177",7.2,2.77777777777778,-3.88888888888889,0.1,0.20216,0.31319,0.19632,0.01712
"178",8.13333333333333,2.77777777777778,-3.88888888888889,0.1,0.19129,0.29819,0.18658,0.01669
"179",9.06666666666667,2.77777777777778,-3.88888888888889,0.1,0.18173,0.28467,0.17819,0.01626
"180",10,2.77777777777778,-3.88888888888889,0.1,0.17337,0.27205,0.17056,0.01617
"181",1.6,3.88888888888889,-3.88888888888889,0.1,0.27834,0.25007,0.06204,0.02736
"182",2.53333333333333,3.88888888888889,-3.88888888888889,0.1,0.27288,0.33097,0.14175,0.01136
"183",3.46666666666667,3.88888888888889,-3.88888888888889,0.1,0.25696,0.34994,0.18184,0.00761
"184",4.4,3.88888888888889,-3.88888888888889,0.1,0.2396,0.34463,0.19265,0.00564
"185",5.33333333333333,3.88888888888889,-3.88888888888889,0.1,0.22456,0.33114,0.19586,0.00477
"186",6.26666666666667,3.88888888888889,-3.88888888888889,0.1,0.21044,0.3172,0.19005,0.00423
"187",7.2,3.88888888888889,-3.88888888888889,0.1,0.19875,0.30286,0.18325,0.0042
"188",8.13333333333333,3.88888888888889,-3.88888888888889,0.1,0.18852,0.28894,0.17774,0.00396
"189",9.06666666666667,3.88888888888889,-3.88888888888889,0.1,0.17959,0.27787,0.17172,0.00346
"190",10,3.88888888888889,-3.88888888888889,0.1,0.1719,0.26768,0.16686,0.00332
"191",1.6,5,-3.88888888888889,0.1,0.23845,0.17943,0.0366,0.01598
"192",2.53333333333333,5,-3.88888888888889,0.1,0.24747,0.2656,0.09686,0.00504
"193",3.46666666666667,5,-3.88888888888889,0.1,0.24081,0.30175,0.14076,0.00275
